nr;mus_nr;tone;meas;ref 
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
;3;8;0;23
